distr_name,original_name
"Маринад Универсальный, 300 г","Маринад Универсальный, 300 г"
"Маринад шашлычный классический, 300 г","Маринад для шашл\классический, 300 г"
"Маринад шашлычный по-кавказски, 300 г","Маринад для шашл\по-кавказски, 300 г"
"Маринад для Мяса, 300 г","Маринад для мяса (брусничный), 300 г"
"Маринад для Барбекю, 300 г","Маринад для барбекю, 300 г"
"Соус для мяса Барбекю, 320 г ",Соус для мяса Барбекю с черносливом 320 гр (250мл)
"Соус для мяса Брусничный, 285 г ",Соус для мяса Брусничный 285 гр (250 мл)
"Соус для мяса Перечный, 300 г ",Соус для мяса Перечный с черным перцем 300 гр (250мл)
"Соус для мяса Аджичный, 300 гр.",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"Маринад Кавказский,  80 г","Маринад Кавказский, 80 гр"
"Маринад Сырный,  80 г","Маринад Сырный, 80 гр"
"Маринад с Белым вином,  80 г","Маринад С Белым Вином, 80 гр"
"Маринад Чесночный,  80 г","Маринад Чесночный, 80 гр"
"Маринад Грибной,  80 г","Маринад Грибной, 80 гр"
"Приправа для маринования в майонезе, 25 г","Приправа ЖМ для шашл\в майонезе, саше 25 гр."
"Приправа для маринования в луке и томатах, 25 г","Приправа ЖМ для шашл\в луке и томатах, саше 25 гр."
"Приправа для маринования в минеральной воде, 25 г","Приправа ЖМ для шашл\в мин-ой воде, саше 25 гр."
"Соус для приготовления рёбрышек в соево-медовой глазури, 90 г","Соус Ребрышки соево-медовые, 90 гр."
"Соус для приготовления рёбрышек острых в соусе с аджикой, 90 г","Соус Ребрышки острые в с-се с адж-ой, 90 гр."
"Соус для приготовления крылышек Терияки, 90 г","Соус Для крылышек терияки, 90 гр"
"Маринад для приготовления Чесночных крылышек, 60 г","Маринад для чесночных крылышек, 60 гр."
"Маринад для приготовления Копчёных крылышек, 80 г","Маринад для копчёных крылышек, 80 гр"
"Маринад для приготовления крылышек Барбекю, 80 г","Маринад для крылышек барбекю, 80 гр"
"Маринад для приготовления крылышек Медово-горчичных, 80 г","Маринад для крылышек медово-горчичных, 80 гр"
