distr_name,original_name
"Соус-основа для приготовления макарон по-итальянски в томатно-базиликовом соусе, Гурмикс, 120 г",Соус томатно-базиликовый (макароны по-итальянски)
"Основа для приготовления согревающего напитка ""Смородина, чабрец и мята"", Гурмикс, 25 мл","Основа для согревающего напитка Смородина, чабрец и мята, 32 г"
"Соус Дикая смородина, Костровок, 290 г (250 мл)","Соус для мяса Дикая смородина, twist, Костровок, 290 г"
"Соус Сливочно-чесночный, Костровок, 240 г","Соус для мяса Сливочно-чесночный, twist, Костровок, 240 г"
"         Основа для согр. напитка  Смородина, чебрец мята 25мл 1/21/126","Основа для согревающего напитка Смородина, чабрец и мята, 32 г"
 AF Чипсы нори Васаби 4.5гр  1/36 Азия Фуд,"Чипсы Нори ""Васаби"", 4,5 г_ASIAFEST®"
Чипсы нори Вассаби 4.5гр  Азия Фудс 1/36,"Чипсы Нори ""Васаби"", 4,5 г_ASIAFEST®"
Чипсы нори Кунжут 4.5гр  Азия Фудс 1/36,"Чипсы Нори ""Кунжут"", 4,5 г_ASIAFEST®"
Чипсы нори Оригинальные 4.5гр  Азия Фудс 1/37,"Чипсы Нори ""Оригинальные"", 4,5 г_ASIAFEST®"
       Основа для глинтвейна Безалког. 100гр Костровок,"Основа для приготовления Глинтвейна безалкогольного, Костровок, 100 г"
       Основа для согр напитка Апельсин Имбирь Корица 25мл 1/21/126,"Основа для согревающего напитка Имбирь, апельсин и корица, 33 г"
       Основа для согр напитка Лимон Имбирь Мед 25мл 1/21/126,"Основа для согревающего напитка Лимон, имбирь и мёд, 34 г"
       Основа для согр напитка Облепиха Имбирь Мед 25мл 1/21/126,"Основа для согревающего напитка Облепиха, имбирь и мёд, 33 г"
       Основа для согр напитка Смородина чебрец мята 25мл 1/21/126,"Основа для согревающего напитка Смородина, чабрец и мята, 32 г"
        Чипсы нори Вассаби 4.5гр 1/36,"Чипсы Нори ""Васаби"", 4,5 г_ASIAFEST®"
        Чипсы нори Кунжут 4.5гр 1/36,"Чипсы Нори ""Кунжут"", 4,5 г_ASIAFEST®"
        Чипсы нори Оригинальные 4.5гр 1/36,"Чипсы Нори ""Оригинальные"", 4,5 г_ASIAFEST®"
       Основа для согр. напитка Апельсин имбирь корица 25мл  1/21/126 ,"Основа для согревающего напитка Имбирь, апельсин и корица, 33 г"
       Основа для согр. напитка Лимон имбирь мед 25мл  1/21/126 ,"Основа для согревающего напитка Лимон, имбирь и мёд, 34 г"
       Основа для согр. напитка Облепиха  имбирь мед 25мл  1/21/126 ,"Основа для согревающего напитка Облепиха, имбирь и мёд, 33 г"
       Основа для согр. напитка Смородина.чебрец. мята 25мл  1/21/126,"Основа для согревающего напитка Смородина, чабрец и мята, 32 г"
Соус для мяса Дикая смородина 290 гр Костровок 1/12,"Соус для мяса Дикая смородина, twist, Костровок, 290 г"
Соус для мяса Сливочно-чесночный 240 гр Костровок 1/12,"Соус для мяса Сливочно-чесночный, twist, Костровок, 240 г"
"Жидкий дым Классический, Костровок 0,33 л/12шт","Жидкий дым Классический 0,33 л."
"Жидкий дым Классический, Костровок 0,5 л/18шт","Жидкий дым Классический 0,5 л."
"ЖМ Маринад для Барбекю, Костровок 300г/12шт/","Маринад для барбекю, 300 г"
"ЖМ Маринад для Курицы, Костровок 300г/12шт/","Маринад для курицы, 300 г"
"ЖМ Маринад для Мяса, Костровок 300г/12шт/","Маринад для мяса (брусничный), 300 г"
"ЖМ Маринад для Рыбы, Костровок 300г/12шт/","Маринад для рыбы, 300 г"
"ЖМ Маринад Универсальный, Костровок 300г/12шт/","Маринад Универсальный, 300 г"
"ЖМ Маринад Шашлычный классический, Костровок 300г/12шт/","Маринад для шашл\классический, 300 г"
ИЗ 150г Грудинка копченая с чесноком Рассол /32шт,"Рассол ""Идея на закуску"" для грудинки копченой с чесноком"
ИЗ 150г Крылышки копченые острые Рассол/32шт,"Рассол ""Идея на закуску"" для крылышек копченых острых"
ИЗ 150г Окорочка копченые Рассол/32шт,"Рассол ""Идея на закуску"" для окорочков копченых"
ИЗ 150г Рыба горячего копчения Рассол/32шт,"Рассол ""Идея на закуску"" для рыбы горячего копчения"
"Имбирь маринованный в уксусе 1,5кг ДП ASIA FEST/10 шт","Имбирь маринованный кат.B, 1,5 кг"
Имбирь маринованный в уксусе 200г ДП ASIA FEST/70 шт,"Имбирь маринованный, 200 г (дойпак)_ASIAFEST®"
Соус СТ Чили (с чесноком) Чим-Чим 300гр /12шт/ СТЕКЛО,Соус Чили (с чесноком) 300 гр
"Чипсы нори ASIA FEST Кунжут 4,5гр","Чипсы Нори ""Кунжут"", 4,5 г_ASIAFEST®"
"ЖМ Приправа для маринования мяса в мин воде, Костровок 25гр","Приправа ЖМ для шашл\в мин-ой воде, саше 25 гр."
"Ароматизатор коптильный (Б) ""Жидкий дым"" Костровок, 0,33 л","Жидкий дым Классический 0,33 л."
Соус устричный  для фунчозы Чим Чим  90г,"Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
"Соус Аджичный с ягодами на кизила для макания, Костровок, 50 г ","Соус для мяса Аджичный, 50 г"
"Соус для мяса Шашлычный, 265 г","Соус для мяса Шашлычный с томатом и травами, 265 г"
"Соус для приготовления Фунчозы в устричном соусе, 90 г","Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
"Фунчоза, 100 г, 250 шт","Фунчоза, 100 г, 250 шт_ASIAFEST®"
"Фунчоза, 100 г. 50 шт","Фунчоза, 100 г, 50 шт_ASIAFEST®"
"Фунчоза, 250 г, 25 шт","Фунчоза, 250 г, 25 шт_ASIAFEST®"
"Фунчоза, 250 г, 100 шт","Фунчоза, 250 г, 100 шт_ASIAFEST®"
"Суши Нори 10 листов, 24 г","Суши Нори 10 листов, 24 г"
"Суши Нори 5 листов, 12 г","Суши Нори 5 листов, 12 г"
"Суши Нори 10 листов, 24 г","Суши Нори 10 листов, 24 г"
"Суши Нори 5 листов, 12 г","Суши Нори 5 листов, 12 г"
"Основа для приготовления согревающего напитка ""Имбирь, апельсин и корица"", Гурмикс, 25 мл (4*21)","Основа для согревающего напитка Имбирь, апельсин и корица, 33 г"
"Основа для приготовления согревающего напитка ""Лимон, имбирь и мёд"", Гурмикс, 25 мл (4*21)","Основа для согревающего напитка Лимон, имбирь и мёд, 34 г"
"Основа для приготовления согревающего напитка ""Облепиха, имбирь и мед"", Гурмикс, 25 мл (4*21)","Основа для согревающего напитка Облепиха, имбирь и мёд, 33 г"
"Заправка салатная Бальзамик ТМ ""Гурмикс"", 80гр, 10 шт/уп, 4 уп/кор, Россия, шт","Салатная заправка Бальзамик, 80 г"
"Заправка салатная Манговая ТМ ""Гурмикс"", 80гр, 10 шт/уп, 4 уп/кор, Россия, шт","Салатная заправка Манговая, 80 г"
"Заправка салатная Французская ТМ ""Гурмикс"", 80гр, 10 шт/уп, 4 уп/кор, Россия, шт","Салатная заправка Французская, 80 г"
"Имбирь розовый маринованный ТМ ""Чим-Чим"", 190гр, ст/б, 24 шт/кор, Китай, шт","Имбирь маринованный розовый, 190 г"
"Корейская заправка Для моркови ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для моркови, 60 гр"
"Корейская заправка Для спаржи ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для спаржи, 60 гр"
"Корейская заправка Для фунчозы ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для фунчозы, 60 гр"
"Корейская заправка Для хе из курицы ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для хе из курицы, 60 гр"
"Корейская заправка Для хе из рыбы ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для хе из рыбы, 60 гр"
"Лапша Фунчоза бататная ТМ ""Чим-Чим"", 200гр, 12 шт/кор, шт","Фунчоза бататная, 200 гр."
"Лапша Фунчоза бобовая ТМ ""Чим-Чим"", 100гр, 24 шт/кор, Китай, шт","Вермишель ФУНЧОЗА бобовая, 100 гр."
"Лапша Фунчоза бобовая ТМ ""Чим-Чим"", 200гр, 18 шт/кор, Китай, шт","Вермишель ФУНЧОЗА бобовая, 200 гр."
"Маринад Для мяса Брусничный ТМ ""Костровок"", 300гр, 12 шт/кор, Россия, шт","Маринад для мяса (брусничный), 300 г"
"Молоко Кокосовое ТМ ""Чим-Чим"", 400мл, ж/б, 12 шт/кор, Таиланд, шт","Кокосовое молоко, 400 мл"
"Нори водоросли ТМ ""Чим-Чим"", 12гр, 20 шт/упак, 2 уп/кор, Корея, шт","Суши Нори 5 листов, 12 г"
"Основа для приготовления Глинтвейна на белом вине ТМ ""Чим-Чим"", 100гр, 10 шт/уп, 4 уп/кор, Россия, шт","Основа для приготовления Глинтвейна на белом вине, Костровок, 100 г"
"Основа для приготовления Глинтвейна на красном вине ТМ ""Чим-Чим"", 100гр, 10 шт/уп, 4 уп/кор, Россия, шт","Основа для приготовления Глинтвейна на красном вине, Костровок, 100 г"
"Основа для согревающего напитка ""Имбирь, апельсин и корица"", ТМ ""Гурмикс"", 25мл, 21 шт/уп, 6 уп/кор, шт","Основа для согревающего напитка Имбирь, апельсин и корица, 33 г"
"Основа для согревающего напитка ""Лимон, имбирь и мед"", ТМ ""Гурмикс"", 25 мл, 21 шт/уп, 6 уп/кор, шт","Основа для согревающего напитка Лимон, имбирь и мёд, 34 г"
"Основа для согревающего напитка ""Облепиха, имбирь и мед"", ТМ ""Гурмикс"", 25 мл, 21 шт/уп, 6 уп/кор, шт","Основа для согревающего напитка Облепиха, имбирь и мёд, 33 г"
"Основа для согревающего напитка ""Смородина, чебрец и мята"", ТМ ""Гурмикс"", 25 мл, 21 шт/уп, 6 уп/кор, шт","Основа для согревающего напитка Смородина, чабрец и мята, 32 г"
"Смесь панировочная для приготовления креветок и кальмаров ТМ ""Гурмикс"", 240гр, 8 шт/уп, 4 уп/кор, шт","Панировочная смесь для Креветок и кальмаров, 240 г"
"Смесь панировочная для приготовления рыбных палочек ТМ ""Гурмикс"", 240гр, 8 шт/уп, 4 уп/кор, шт","Панировочная смесь для Рыбных палочек, 240 г"
"Соус для мяса Брусничный ТМ ""Костровок"", 285гр/250мл, ст/бут, 12 шт/кор, Россия, шт",Соус для мяса Брусничный 285 гр (250 мл)
"Соус для пельменей ТМ ""Чим-Чим"", 290гр, ст/бут, 6шт/кор, Россия, шт","Соус для пельменей, 370 г"
"Соус Кисло-сладкий ТМ ""Чим-Чим"", 300гр, ст/бут, 12 шт/кор, Россия, шт",Соус WOK Кисло-Сладкий 300 гр.
"Соус Соево-чесночный ТМ ""Чим-Чим"", 320гр, ст/бут, 12 шт/кор, Россия, шт",Соус WOK Соево-Чесночный 320 гр.
"Соус Соевый ТМ ""Чим-Чим"", 350гр/290мл, 6 шт/кор, Россия, шт","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
"Соус-основа для макарон с беконом в сливочно-сырном соусе ТМ""Гурмикс"", 120гр, 40 шт/кор, шт",Соус сливочно-сырный (макароны с беконом)
"Соус-основа для пасты с курицей в сливочно-грибном соусе ТМ ""Гурмикс"", 120гр, 40 шт/кор, шт",Соус сливочно-грибной (паста с курицей)
"Соус-основа для спагетти с креветками в сливочно-чесночном ТМ ""Гурмикс"", 120гр, 40 шт/кор, шт",Соус сливочно-чесночный (спагетти с креветками)
"Чипсы нори Кунжут ТМ ""Чим-Чим"", 4,5г, 3 шт/уп, 12 уп/кор, Россия, шт","Чипсы Нори ""Кунжут"", 4,5 гр."
"Чипсы нори Оригинальные ТМ ""Чим-Чим"", 4,5г, 3 шт/уп, 12 уп/кор, Россия, шт","Чипсы Нори ""Оригинальные"", 4,5 гр."
"Чипсы нори со вкусом васаби ТМ ""Чим-Чим"", 4,5г, 3 шт/уп, 12 уп/кор, Россия, шт","Чипсы Нори ""Васаби"", 4,5 гр."
"Заправка салатная Кунжутная ТМ ""Гурмикс"", 80гр, 10 шт/уп, 4 уп/кор, Россия, шт","Салатная заправка Кунжутная, 80 г"
"Коврик д/суши бамбуковый ТМ ""Чим-Чим"", 24*24, 10 шт/кор, Китай, шт",Бамбуковая Циновка
"Корейская заправка Для кальмаров ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для кальмаров, 60 гр"
"Корейская заправка Для капусты ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для капусты, 60 гр"
"Корейская заправка Для моркови острая ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для острой моркови, 60 гр"
"Корейская заправка Для огурцов ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для огурцов, 60 гр"
"Маринад Для курицы ТМ ""Костровок"", 300гр, 12 шт/кор, Россия, шт","Маринад для курицы, 300 г"
"Маринад Для рыбы ТМ ""Костровок"", 300гр, 12 шт/кор, Россия, шт","Маринад для рыбы, 300 г"
"Маринад Для шашлыка Классический ТМ ""Костровок"", 300гр, 12 шт/кор, Россия, шт","Маринад для шашл\классический, 300 г"
"Маринад Для шашлыка По-кавказски ТМ ""Костровок"", 300гр, 12 шт/кор, Россия, шт","Маринад для шашл\по-кавказски, 300 г"
"Маринад Универсальный ТМ ""Костровок"", 300гр, 12 шт/кор, Россия, шт","Маринад Универсальный, 300 г"
"Нори водоросли ТМ ""Чим-Чим"", 24гр, 20 шт/упак, 2 уп/кор, Корея, шт","Суши Нори 10 листов, 24 г"
"Основа для приготовления Глинтвейна б/алкогольного ТМ ""Чим-Чим"", 100гр, 10 шт/уп, 4 уп/кор, Россия, шт","Основа для приготовления Глинтвейна безалкогольного, Костровок, 100 г"
"Смесь панировочная для приготовления крылышек острых ТМ ""Гурмикс"", 240гр, 8 шт/уп, 4 уп/кор, шт","Панировочная смесь для Крылышек острых, 240 г"
"Соус для мяса Барбекю ТМ ""Костровок"", 320гр/250мл, ст/бут, 12 шт/кор, Россия, шт",Соус для мяса Барбекю с черносливом 320 гр (250мл)
"Соус Сладкий Чили для курицы ТМ ""Чим-Чим"", 300гр, ст/бут, 12 шт/кор, Россия, шт","Соус Сладкий Чили, 300 г"
"Соус Терияки ТМ ""Чим-Чим"", 250мл, 12 шт/кор, Россия, шт","Соус Терияки Чим-Чим"" 250 мл."
"Соус Устричный ТМ ""Чим-чим"", 250мл, ст/бут, 12 шт/кор, Россия, шт","Соус Устричный Чим-Чим"" 250 мл."
"Соус Черный перец ТМ ""Чим-Чим"", 320гр, ст/бут, 12 шт/кор, Россия (в), шт",Соус WOK Черный Перец 320 гр.
"Соус Чили с чесноком ТМ ""Чим-Чим"", 300гр, ст/бут, 12 шт/кор, Россия, шт",Соус Чили (с чесноком) 300 гр
"Соус Шрирача Тайский жгучий ТМ ""Чим-Чим"", 290гр, ст/бут, 12 шт/кор, Россия, шт","Соус Шрирача Тайский, 290 г "
"Ароматизатор коптильный Жидкий дым ТМ ""Костровок"", 500мл, 18 шт/кор, Россия, шт","Жидкий дым Классический 0,5 л."
"Васаби ТМ ""Чим-Чим"", 43гр, 10 шт/упак, 4 уп/кор, Китай, шт","Васаби паста, 43 г"
"Палочки бамбуковые ТМ ""Чим-Чим"", 10 шт/упак, 10 уп/кор, Китай, шт",Бамбуковые палочки (5 пар)
"Смесь панировочная для приготовления хрустящей курочки ТМ ""Гурмикс"", 240гр, 8 шт/уп, 4 уп/кор, шт","Панировочная смесь для Хрустящей курочки, 240 г"
"Соус Дикая смородина ТМ ""Костровок"", 290гр/250мл, 12 шт/кор, Россия, шт","Соус для мяса Дикая смородина, twist, Костровок, 290 г"
"Соус Сливочно-чесночный ТМ ""Костровок"", 240гр, 12 шт/кор, шт","Соус для мяса Сливочно-чесночный, twist, Костровок, 240 г"
"Ароматизатор коптильный Жидкий дым ТМ ""Костровок, 330мл, 12 шт/кор, Россия, шт","Жидкий дым Классический 0,33 л."
"Корейская заправка Для моркови с мясом ТМ ""Чим-Чим"", 60 гр, 12 шт/уп, 4 уп/кор, Россия, шт","Корейская заправка для моркови с мясом, 60 гр"
"Маринад Для барбекю ТМ ""Костровок"", 300гр, 12 шт/кор, Россия, шт","Маринад для барбекю, 300 г"
"Масло Кунжутное нерафинированное ТМ ""Чим-Чим"", 105мл, 12 шт/уп, Китай, шт","Масло Кунжутное, 105 мл."
"Рис круглозерный шлифованный для суши ТМ ""Чим-Чим"", 500гр, 12 шт/кор, Россия, шт","Рис для суши, 500 г"
"Соус Корейский перечный Кочуджан ТМ ""Чим-Чим"", 75гр, 10 шт/уп, 4 уп/кор, Россия, шт","Корейский перечный соус Кочуджан, 75 гр."
"Соус Чили с лаймом ТМ ""Чим-Чим"", 300гр, ст/бут, 12 шт/кор, Россия, шт","Соус Чили с лаймом, 300 г "
"Соус-основа для макарон по итальянски в томатно-базиликовом соусе ТМ""Гурмикс"", 120гр, 40 шт/кор, шт",Соус томатно-базиликовый (макароны по-итальянски)
"Соус для мяса Аджичный ТМ ""Костровок"", 300гр/250мл, 12 шт/кор, Россия, шт",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"Уксус рисовый ТМ ""Чим-Чим"", 250мл, 12 шт/кор, Россия, шт","Рисовый уксус, 250 мл"
"Соус Тонкацу сливовый для мяса ТМ ""Чим-Чим"", 300мл, ст/бут, 12 шт/кор, Россия, шт","Соус Тонкацу, 300 г "
"Заправка салатная Тайская ТМ ""Гурмикс"", 80гр, 10 шт/уп, 4 уп/кор, Россия, шт","Салатная заправка Тайская, 80 г"
"1.1Соус Соево-чесночный ""Чим-Чим"" 250 мл х 12 ст/бут WOK",Соус WOK Соево-Чесночный 320 гр.
"1.2Соус для ПЕЛЬМЕНЕЙ ""Чим-Чим"" 290 мл х 6 ст/бут","Соус для пельменей, 370 г"
"1.2Соус Устричный ""Чим-Чим"" 250 мл х 12 ст/бут","Соус Устричный Чим-Чим"" 250 мл."
"1.2Соус Чили (с чесноком) ""Чим-Чим"" 250 мл х 12 ст/бут DIP-соус",Соус Чили (с чесноком) 300 гр
"1.2Соус Шрирача Тайский ""Чим-Чим"" 250 мл х 12 ст/бут DIP-соус","Соус Шрирача Тайский, 290 г "
"1.3Соус для мяса Аджичный ""Костровок""300 гр х 12 ст/бут",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"1.3Соус для мяса Брусничный ""Костровок"" 285 гр х 12 ст/бут",Соус для мяса Брусничный 285 гр (250 мл)
"1.3Соус для мяса Медово-Горчичный ""Костровок"" 270 гр х 12 ст/бут","Соус для мяса Медово-Горчичный, 270 г"
2. Лапша рисовая ЧИМ-ЧИМ 200 гр. х 12шт,"Лапша рисовая 5 мм, 200 г"
"2. Лапша яичная ""Рамен"" ЧИМ-ЧИМ 250 гр. х 12шт","Лапша яичная Рамен, 250 гр."
"2. МОЛОКО кокосовое ЧИМ-ЧИМ 400 мл. х 12шт, ж/б. ТАИЛАНД","Кокосовое молоко, 400 мл"
2.Рис для суши ЧИМ-ЧИМ 500 гр х 12шт круглорзерный  шлифованный,"Рис для суши, 500 г"
"Корейская заправка ""Чим-Чим"" для фунчозы 60 гр. х 48 шт.,кратно 12","Корейская заправка для фунчозы, 60 гр"
"Корейская заправка ""Чим-Чим"" для Хе из курицы, 60 гр. х 48, шт.(кратно12)","Корейская заправка для хе из курицы, 60 гр"
"Корейская заправка ""Чим-Чим"" для Хе из рыбы, 60 гр. х 48, шт.(кратно 12)","Корейская заправка для хе из рыбы, 60 гр"
"Корейская заправка ""Чим-Чим""для морковки острая 60 гр. х 48 ,(кратно 12), шт.","Корейская заправка для острой моркови, 60 гр"
"Маринад для курицы 300 мл х 12, шт.","Маринад для курицы, 300 г"
"Маринад для мяса 300 мл. х 12, шт.","Маринад для мяса (брусничный), 300 г"
"Маринад для шашлыка ""Классический"", 300 мл. х 12, шт.","Маринад для шашл\классический, 300 г"
"Маринад для шашлыка ""По-кавказски "", 300 мл.. х 12, шт.","Маринад для шашл\по-кавказски, 300 г"
"Приправа коптильная ""Жидкий Дым"", 0,5 л х 18 шт.","Жидкий дым Классический 0,5 л."
"Смесь панировоч. для креветок и кальмаров Гурмикс 240 гр х 32,  кратно 8","Панировочная смесь для Креветок и кальмаров, 240 г"
"Смесь панировоч. для кур.наггетсов Гурмикс 240 гр х 32,  кратно 8","Панировочная смесь для Наггетсов, 240 г"
"Смесь панировоч. для острых крылышек Гурмикс 240 гр х 32,  кратно 8","Панировочная смесь для Крылышек острых, 240 г"
"Смесь панировочная для курицы Гурмикс 240 гр х 32, кратно 8","Панировочная смесь для Хрустящей курочки, 240 г"
"1 Соус для ребрышек по-корейски Кальби  ""Чим-Чим"" 150 гр х 32, дой пак","Соус для приготовления Рёбрышек по-корейски в соусе Кальби, 150 г"
"1 Соус для риса по-тайски ""Чим-Чим"" 90 гр х 40 (кратно 10), дой пак","Соус для Жареного риса по-тайски, 90 г"
"Корейская заправка ""Чим-Чим"" для капусты 60 гр. х 48 шт.(кратно 12)","Корейская заправка для капусты, 60 гр"
"Макаронные изд. фунчоза(вермишель) из крахмала бобов, гороха, кукурузы 100 гр. Asia Fest 1/50","Фунчоза, 100 г, 50 шт_ASIAFEST®"
"Чипсы нори ""Оригинальные"" 4,5гр Asia Fest 1/36","Чипсы Нори ""Оригинальные"", 4,5 г_ASIAFEST®"
"Чипсы нори ""Васаби"" 4,5гр Asia Fest 1/36","Чипсы Нори ""Васаби"", 4,5 г_ASIAFEST®"
"Чипсы нори ""Кунжут"" 4,5гр Asia Fest 1/36","Чипсы Нори ""Кунжут"", 4,5 г_ASIAFEST®"
"Маринад ""Кавказский"" 80гр Костровок 1/10","Маринад Кавказский, 80 гр"
"Маринад ""С белым вином"" 80гр Костровок 1/10","Маринад С Белым Вином, 80 гр"
"Маринад ""Чесночный"" 80гр Костровок 1/10","Маринад Чесночный, 80 гр"
Соус-основа для пригот. спагетти с креветками в слив-чесночном соусе 120гр Гурмикс 1/10,Соус сливочно-чесночный (спагетти с креветками)
Соус-основа для пригот. макарон с беконом в слив-сыр соусе 120гр Гурмикс 1/10,Соус сливочно-сырный (макароны с беконом)
Соус-основа для пригот. макарон по-итальянски в том-базилик. соусе 120гр Гурмикс 1/10,Соус томатно-базиликовый (макароны по-итальянски)
Соус-основа для пригот. пасты с курицей в слив-грибном соусе 120гр Гурмикс 1/10,Соус сливочно-грибной (паста с курицей)
Соус устричный 320гр (250мл) Чим Чим 1/12,"Соус Устричный Чим-Чим"" 250 мл."
"Основа для согревающего напитка Лимон, имбирь и мёд, 4 Ш.Б. В СТРИП ЛЕНТАХ, Гурмикс VITA BAR, 34 г","Основа для согревающего напитка Лимон, имбирь и мёд, 34 г"
"Основа для согревающего напитка Имбирь, апельсин и корица, 4 ШБ В СТРИП, Гурмикс VITA BAR, 33 г","Основа для согревающего напитка Имбирь, апельсин и корица, 33 г"
"Суши Нори Asia Fest (10 листов) 22,5г./40, ","Суши нори 10 листов Asia Fest (40*22,5г)"
"Васаби паста ""Чим-Чим"" 43г пл/туба (1х40) (#10) Китай (шк 9525) р","Васаби паста, 43 г"
"Соус  для макания ""Костровок"" Аджичный 50г дип/стакан (1блх12)(1х4))(#17) Россия (шк 1796) р VV","Соус для мяса Аджичный, 50 г"
"Соус  для макания ""Костровок"" Брусничный 50г дип/стакан (1блх12)(1х4))(#17) Россия (шк 1802) р VV","Соус для мяса Брусничный, 50 г"
"Рассол  ""Идея на закуску"" для грудинки копченой 150г (блх8)(1х4) (#7) Россия () (шк - 3578) VV","Рассол ""Идея на закуску"" для грудинки копченой с чесноком"
"Рассол  ""Идея на закуску"" для крылышек копченых 150г (блх8)(1х4) (#7) Россия () (шк - 3547) VV","Рассол ""Идея на закуску"" для крылышек копченых острых"
"Рассол  ""Идея на закуску"" для окорочков копченых 150г (блх8)(1х4) (#7) Россия () (шк - 3554) VV","Рассол ""Идея на закуску"" для окорочков копченых"
"Фунчоза ""Asia Fest"" 250г п/п (1х25) (#6), Китай () (шк 5909) VV","Фунчоза, 250 г, 25 шт_ASIAFEST®"
Водоросли морские Суши Нори 24г/10лист Чим Чим/20/40,"Суши Нори 10 листов, 24 г"
"Бумага рисовая Чим-Чим 100г, 10 листов",Рисовая бумага 10 листов
"Соус 120г Паста-бар для приг.МАКАРОН ПО-ИТАЛЬЯНСКИ в томатно-базиликовом соусе, Гурмикс /10шт/40шт/",Соус томатно-базиликовый (макароны по-итальянски)
"Соус СТ Дикая смородина Костровок, 290гр (250мл) /12шт/ СТЕКЛО","Соус для мяса Дикая смородина, twist, Костровок, 290 г"
"Соус СТ Сливочно-чесночный Костровок, 240гр  /12шт/ СТЕКЛО","Соус для мяса Сливочно-чесночный, twist, Костровок, 240 г"
"Соус Устричный для фунчозы с говядиной ""Чим-Чим"", 90гр./4бл/10","Соус Устричный для фунчозы ""Чим-Чим"", 90 гр"
"Соус для мяса Дикая См 250 мл. ""Костровок"" с/б1/12","Соус для мяса Дикая смородина, twist, Костровок, 290 г"
"Соус для мяса Сливочно-ч 250 мл. ""Костровок""с/б 12","Соус для мяса Сливочно-чесночный, twist, Костровок, 240 г"
"Корейская запр. ""Чим-Чим"" для кальмаров 60гр. *12шт., шт","Корейская заправка для кальмаров, 60 гр"
"Корейская запр. ""Чим-Чим"" для моркови 60гр. *12шт.  , шт","Корейская заправка для моркови, 60 гр"
"Корейская запр. ""Чим-Чим"" для фунчозы 60гр.*12шт.   , шт","Корейская заправка для фунчозы, 60 гр"
"Молоко кокосовое ""Чим-Чим"" 400 мл. ж/б*12шт , шт","Кокосовое молоко, 400 мл"
"Основа для приготов.сог.нап. ""Лимон,имбирьи мёд""Гурмикс 25мл.*21шт., шт","Основа для согревающего напитка Лимон, имбирь и мёд, 34 г"
"СОЕВЫЙ соус ""Чим-Чим"" 350гр. (290мл) ст/б *6шт.  , шт","Соевый соус ""Чим-Чим"", 350 гр (290 мл)"
"Соус ""Костровок"" 250мл. (265г.) Шашлычный с томатом и травами ст/б *12шт. , шт","Соус для мяса Шашлычный с томатом и травами, 265 г"
"Соус ""Костровок"" 250мл. (290г.) Дикая смородина ст/б *12шт., шт","Соус для мяса Дикая смородина, twist, Костровок, 290 г"
"Соус ""Костровок"" 250мл. (320г.) Барбекю с черносливом ст/б *12шт. , шт",Соус для мяса Барбекю с черносливом 320 гр (250мл)
"Соус ""Костровок"" 300г. Аджичный для мяса с кизилом ст/б *12шт. , шт",Соус для мяса Аджичный с ягодами кизила 300 гр (250 мл)
"Соус ""Чим-Чим"" Dip 290г. Шрирача Тайский ст/б *12шт , шт","Соус Шрирача Тайский, 290 г "
"Соус ""Чим-Чим"" Dip 290мл. для пельменей  ст/б*6шт , шт","Соус для пельменей, 370 г"
"Соус ""Чим-Чим"" Dip 300г. Чили с лаймом ст/б *12шт , шт","Соус Чили с лаймом, 300 г "
"Соус ""Чим-Чим"" WOK 250мл. (300г.) Кисло-сладкий  ст/б *12шт.  , шт",Соус WOK Кисло-Сладкий 300 гр.
"Соус ""Чим-Чим"" WOK 250мл. (320г.) Соево-Чесночный  ст/б *12шт., шт",Соус WOK Соево-Чесночный 320 гр.
"Соус ""Чим-Чим"" WOK 250мл. (320г.) Черный перец  ст/б *12шт., шт",Соус WOK Черный Перец 320 гр.
"Уксус рисовый Чим-Чим 250мл.(290гр.)*12шт, шт","Рисовый уксус, 250 мл"
"ФУНЧОЗА ""Чим-Чим"" 100г. (вермишель бобовая)  *24шт.  , шт","Вермишель ФУНЧОЗА бобовая, 100 гр."
"ФУНЧОЗА ""Чим-Чим"" 200г. (вермишель бобовая) *18шт.  , шт","Вермишель ФУНЧОЗА бобовая, 200 гр."
